customer_id,close_month,reason_code
10755,2024-05,Switched provider
7582,2025-01,Unhappy with perks
2162,2024-11,Fees too high
3016,2023-02,Switched provider
564,2022-07,Poor service
4277,2023-03,Poor service
10468,2024-05,Fees too high
5352,2024-03,Poor service
9996,2024-07,Poor service
2506,2024-04,Fees too high
7220,2023-10,Switched provider
13080,2024-10,Switched provider
3612,2023-10,Fees too high
5093,2023-08,Poor service
2093,2023-02,Fees too high
5533,2023-08,Poor service
9024,2024-04,Poor service
3952,2024-06,Moved abroad
1495,2022-12,Switched provider
5157,2023-07,Poor service
1111,2024-02,Switched provider
1275,2022-06,Fees too high
2294,2023-01,Poor service
2346,2023-03,Unknown
10122,2024-12,Fees too high
9090,2024-02,Moved abroad
1034,2023-09,Fees too high
407,2022-09,Fees too high
6766,2023-09,Poor service
5879,2023-11,Unknown
2258,2023-04,Unknown
14027,2024-11,Poor service
5598,2024-06,Switched provider
7770,2024-06,Switched provider
1095,2024-06,Switched provider
5056,2023-07,Unknown
1947,2024-09,Fees too high
12969,2024-10,Poor service
10261,2024-06,Fees too high
3802,2025-01,Poor service
10264,2024-06,Moved abroad
9209,2024-04,Switched provider
5514,2023-10,Poor service
3505,2023-01,Switched provider
1403,2022-07,Poor service
4159,2023-08,Fees too high
7843,2024-09,Poor service
10272,2024-11,Poor service
15395,2025-01,Poor service
10450,2024-05,Poor service
10132,2024-03,Fees too high
2858,2022-12,Moved abroad
6675,2024-02,Moved abroad
9591,2024-02,Fees too high
671,2024-05,Bereavement
4959,2023-08,Poor service
2384,2023-08,Fees too high
12119,2025-01,Fees too high
10726,2024-10,Switched provider
6200,2024-03,Poor service
10494,2024-10,Poor service
6151,2024-11,Bereavement
12963,2024-11,Switched provider
7561,2023-11,Fees too high
6402,2023-07,Fees too high
6188,2024-07,Unknown
2455,2024-11,Poor service
3633,2024-09,Fees too high
5964,2024-06,Poor service
4870,2023-04,Fees too high
816,2023-09,Moved abroad
10737,2024-11,Fees too high
1846,2024-04,Switched provider
5680,2024-06,Poor service
1527,2022-10,Unhappy with perks
10681,2024-06,Moved abroad
7842,2023-11,Poor service
155,2023-04,Fees too high
241,2023-01,Fees too high
6872,2024-07,Bereavement
3217,2024-08,Bereavement
11603,2024-06,Poor service
548,2023-06,Unhappy with perks
9059,2024-04,Fees too high
1640,2022-08,Moved abroad
14849,2024-12,Poor service
7736,2024-12,Unknown
13998,2024-12,Fees too high
5146,2024-01,Fees too high
