months_since_joining,no_promo_percentage_close,promo_percentage_close
1,6.557110315652456,5.101189234300021
2,5.364611747590471,3.976688378471032
3,4.648822700744617,3.212551363466567
4,4.195036239841862,2.884744398228901
5,4.014336917562724,2.7085434375450226
6,3.754531330916624,2.420105491777847
7,11.22334455667789,2.4196221411998673
8,3.3903994629070158,2.6348584653729747
9,2.921840759678598,2.493765586034913
10,2.9750099166997224,2.807017543859649
11,3.2632030914555603,2.3756660746003555
12,3.283302063789869,2.5949062950504564
13,3.0991735537190084,2.338877338877339
14,4.136389044158748,1.950254381006218
15,2.7846534653465347,2.5609756097560976
16,2.5693035835023665,2.370617696160267
17,2.246376811594203,2.1415607985480944
18,2.6169706582077716,2.4063116370808677
19,2.35191637630662,2.1748400852878462
20,2.644003777148253,2.0187793427230045
21,3.023983315954119,2.1461420541645375
22,3.0696576151121606,1.643059490084986
23,1.984126984126984,2.1698698078115313
24,2.936857562408223,1.590594744121715
