customer_id,promo,channel,region,age_band,tier_at_join,tenure,reason_code,promo_group
1,False,Comparison Site,Scotland,25-34,Classic,6,Switched provider,No promo
5,False,Comparison Site,South East,35-44,Silver,10,Bereavement,No promo
11,True,Comparison Site,South East,18-24,Classic,8,Switched provider,Joined on promo
13,True,Comparison Site,London,25-34,Classic,18,Switched provider,Joined on promo
15,True,Branch,North,25-34,Silver,1,Fees too high,Joined on promo
16,True,Comparison Site,London,25-34,Classic,3,Fees too high,Joined on promo
17,False,Broker/IFA,Scotland,45-54,Silver,1,Switched provider,No promo
18,True,Comparison Site,London,45-54,Classic,13,Poor service,Joined on promo
21,False,Referral,Midlands,35-44,Silver,11,Poor service,No promo
22,False,Broker/IFA,London,55-64,Platinum,17,Switched provider,No promo
24,False,Broker/IFA,North,55-64,Platinum,9,Unknown,No promo
26,False,Branch,Midlands,35-44,Silver,35,Moved abroad,No promo
29,False,Comparison Site,Wales & NI,45-54,Gold,16,Fees too high,No promo
30,False,Referral,North,65+,Classic,30,Unknown,No promo
31,False,Comparison Site,London,25-34,Classic,1,Fees too high,No promo
34,False,Comparison Site,South East,55-64,Gold,2,Switched provider,No promo
35,True,Comparison Site,Wales & NI,18-24,Classic,1,Fees too high,Joined on promo
36,False,Comparison Site,Scotland,45-54,Classic,10,Switched provider,No promo
41,True,Comparison Site,South East,65+,Classic,12,Bereavement,Joined on promo
42,False,Online,Wales & NI,35-44,Silver,15,Bereavement,No promo
45,True,Outbound,London,35-44,Silver,7,Unknown,Joined on promo
46,False,Broker/IFA,Midlands,25-34,Gold,27,Poor service,No promo
47,True,Comparison Site,North,25-34,Silver,27,Fees too high,Joined on promo
51,False,Outbound,Wales & NI,35-44,Classic,19,Unknown,No promo
52,False,Online,Midlands,65+,Classic,4,Switched provider,No promo
53,True,Comparison Site,Midlands,45-54,Silver,5,Fees too high,Joined on promo
54,False,Online,South East,35-44,Silver,1,Switched provider,No promo
56,False,Online,Midlands,18-24,Gold,9,Unknown,No promo
58,True,Comparison Site,Midlands,18-24,Classic,12,Fees too high,Joined on promo
59,False,Online,London,35-44,Classic,3,Switched provider,No promo
62,True,Comparison Site,Midlands,18-24,Gold,9,Switched provider,Joined on promo
64,False,Online,North,25-34,Classic,10,Switched provider,No promo
72,False,Online,North,55-64,Silver,2,Poor service,No promo
73,True,Online,Scotland,25-34,Gold,4,Poor service,Joined on promo
74,False,Branch,Scotland,25-34,Classic,25,Fees too high,No promo
79,False,Online,Wales & NI,25-34,Silver,9,Switched provider,No promo
83,False,Broker/IFA,London,18-24,Classic,6,Poor service,No promo
85,True,Online,North,35-44,Gold,21,Unhappy with perks,Joined on promo
88,False,Branch,London,35-44,Gold,4,Unknown,No promo
89,False,Comparison Site,London,25-34,Classic,5,Poor service,No promo
92,False,Comparison Site,Midlands,45-54,Classic,17,Fees too high,No promo
96,True,Comparison Site,Scotland,45-54,Classic,5,Fees too high,Joined on promo
98,False,Comparison Site,North,35-44,Silver,20,Switched provider,No promo
106,False,Comparison Site,North,35-44,Classic,3,Switched provider,No promo
107,True,Comparison Site,London,45-54,Classic,9,Poor service,Joined on promo
108,True,Comparison Site,South East,35-44,Silver,2,Fees too high,Joined on promo
109,False,Branch,London,55-64,Classic,32,Bereavement,No promo
113,False,Referral,North,35-44,Gold,2,Unhappy with perks,No promo
114,False,Comparison Site,North,18-24,Classic,9,Poor service,No promo
116,True,Comparison Site,South East,35-44,Classic,16,Fees too high,Joined on promo
117,True,Comparison Site,South East,18-24,Platinum,9,Unhappy with perks,Joined on promo
118,True,Comparison Site,Scotland,25-34,Classic,6,Switched provider,Joined on promo
123,True,Comparison Site,London,55-64,Silver,5,Fees too high,Joined on promo
124,True,Comparison Site,North,45-54,Classic,25,Switched provider,Joined on promo
130,False,Outbound,North,35-44,Silver,20,Unknown,No promo
131,False,Comparison Site,North,25-34,Silver,8,Fees too high,No promo
133,False,Branch,Wales & NI,45-54,Gold,2,Poor service,No promo
134,True,Outbound,London,45-54,Silver,11,Fees too high,Joined on promo
144,False,Branch,North,35-44,Silver,2,Unknown,No promo
146,True,Comparison Site,Midlands,35-44,Classic,2,Fees too high,Joined on promo
147,False,Comparison Site,London,25-34,Classic,34,Fees too high,No promo
154,True,Online,Scotland,25-34,Silver,7,Bereavement,Joined on promo
155,True,Comparison Site,London,25-34,Silver,15,Fees too high,Joined on promo
159,False,Referral,Midlands,25-34,Silver,4,Switched provider,No promo
160,False,Branch,North,35-44,Gold,8,Unhappy with perks,No promo
163,True,Online,South East,35-44,Classic,5,Poor service,Joined on promo
165,False,Comparison Site,London,35-44,Silver,4,Switched provider,No promo
166,True,Online,London,55-64,Classic,17,Poor service,Joined on promo
173,False,Broker/IFA,Midlands,25-34,Platinum,18,Unknown,No promo
174,False,Online,North,35-44,Gold,7,Unhappy with perks,No promo
176,False,Outbound,Midlands,35-44,Classic,6,Poor service,No promo
180,False,Online,Scotland,25-34,Gold,35,Unhappy with perks,No promo
182,False,Online,Scotland,25-34,Classic,13,Poor service,No promo
183,True,Online,London,35-44,Gold,35,Unhappy with perks,Joined on promo
185,True,Outbound,Scotland,25-34,Silver,28,Fees too high,Joined on promo
186,True,Online,Midlands,18-24,Silver,2,Fees too high,Joined on promo
199,False,Broker/IFA,London,65+,Platinum,22,Poor service,No promo
200,False,Outbound,London,55-64,Classic,1,Unknown,No promo
201,True,Comparison Site,South East,35-44,Classic,10,Bereavement,Joined on promo
202,False,Outbound,North,25-34,Gold,30,Unknown,No promo
204,False,Comparison Site,London,25-34,Classic,2,Poor service,No promo
209,False,Online,Midlands,35-44,Classic,28,Unknown,No promo
210,True,Comparison Site,London,35-44,Gold,20,Fees too high,Joined on promo
213,True,Comparison Site,London,18-24,Silver,13,Fees too high,Joined on promo
218,True,Online,London,55-64,Classic,4,Fees too high,Joined on promo
219,False,Comparison Site,London,18-24,Silver,13,Switched provider,No promo
220,False,Referral,Wales & NI,45-54,Silver,15,Poor service,No promo
221,False,Outbound,Wales & NI,25-34,Classic,3,Poor service,No promo
224,False,Outbound,Midlands,25-34,Silver,4,Switched provider,No promo
225,False,Outbound,South East,55-64,Classic,6,Unknown,No promo
226,True,Outbound,Scotland,45-54,Classic,2,Unknown,Joined on promo
228,False,Online,Scotland,35-44,Silver,1,Poor service,No promo
231,False,Online,London,35-44,Silver,26,Unknown,No promo
233,False,Referral,North,55-64,Silver,9,Switched provider,No promo
234,False,Branch,Midlands,25-34,Silver,30,Switched provider,No promo
237,False,Online,South East,25-34,Classic,5,Poor service,No promo
238,False,Referral,London,55-64,Gold,18,Poor service,No promo
240,False,Branch,North,45-54,Gold,8,Poor service,No promo
241,True,Comparison Site,London,35-44,Classic,12,Fees too high,Joined on promo
244,False,Comparison Site,North,55-64,Classic,10,Switched provider,No promo
247,True,Outbound,South East,35-44,Gold,8,Fees too high,Joined on promo
248,True,Online,London,45-54,Silver,3,Poor service,Joined on promo
249,False,Branch,South East,55-64,Silver,1,Fees too high,No promo
251,False,Comparison Site,London,25-34,Classic,1,Switched provider,No promo
252,True,Comparison Site,North,45-54,Silver,2,Poor service,Joined on promo
255,True,Comparison Site,Midlands,55-64,Silver,19,Fees too high,Joined on promo
256,False,Online,London,35-44,Classic,8,Moved abroad,No promo
257,False,Broker/IFA,South East,65+,Gold,11,Poor service,No promo
259,False,Referral,London,35-44,Classic,31,Fees too high,No promo
265,False,Online,South East,45-54,Platinum,12,Switched provider,No promo
266,True,Online,North,35-44,Silver,23,Poor service,Joined on promo
276,True,Outbound,North,35-44,Classic,14,Fees too high,Joined on promo
279,True,Comparison Site,London,45-54,Gold,30,Switched provider,Joined on promo
281,True,Comparison Site,North,45-54,Classic,5,Fees too high,Joined on promo
282,True,Online,London,18-24,Gold,28,Poor service,Joined on promo
285,True,Comparison Site,London,25-34,Classic,7,Unknown,Joined on promo
287,False,Online,North,35-44,Silver,12,Poor service,No promo
288,False,Branch,London,18-24,Classic,34,Unhappy with perks,No promo
293,False,Branch,South East,25-34,Platinum,10,Unknown,No promo
294,False,Online,London,45-54,Silver,2,Switched provider,No promo
298,False,Online,Midlands,45-54,Classic,23,Switched provider,No promo
300,False,Outbound,North,45-54,Gold,13,Poor service,No promo
309,False,Outbound,South East,25-34,Silver,11,Moved abroad,No promo
310,False,Branch,South East,25-34,Platinum,13,Fees too high,No promo
314,False,Online,South East,35-44,Platinum,26,Poor service,No promo
322,False,Online,North,55-64,Gold,28,Moved abroad,No promo
325,False,Online,South East,25-34,Classic,17,Bereavement,No promo
329,True,Referral,London,35-44,Silver,6,Switched provider,Joined on promo
332,True,Comparison Site,Midlands,18-24,Classic,7,Fees too high,Joined on promo
336,False,Comparison Site,London,65+,Classic,5,Unknown,No promo
339,True,Comparison Site,North,45-54,Silver,2,Fees too high,Joined on promo
341,True,Outbound,Wales & NI,25-34,Silver,7,Fees too high,Joined on promo
344,True,Online,London,65+,Silver,33,Poor service,Joined on promo
348,True,Outbound,North,25-34,Classic,1,Fees too high,Joined on promo
349,True,Online,Midlands,35-44,Gold,30,Moved abroad,Joined on promo
350,False,Online,Midlands,25-34,Silver,5,Poor service,No promo
352,False,Online,London,45-54,Gold,3,Bereavement,No promo
360,True,Comparison Site,London,35-44,Silver,13,Fees too high,Joined on promo
361,True,Outbound,London,35-44,Gold,15,Fees too high,Joined on promo
364,False,Online,London,65+,Silver,11,Poor service,No promo
365,True,Comparison Site,South East,25-34,Silver,7,Switched provider,Joined on promo
366,False,Broker/IFA,South East,65+,Silver,2,Unknown,No promo
371,False,Comparison Site,London,25-34,Classic,20,Poor service,No promo
373,True,Branch,Wales & NI,55-64,Silver,6,Unknown,Joined on promo
374,False,Comparison Site,Midlands,35-44,Silver,3,Fees too high,No promo
375,True,Comparison Site,London,55-64,Classic,1,Fees too high,Joined on promo
379,True,Comparison Site,Midlands,25-34,Gold,1,Unhappy with perks,Joined on promo
382,True,Online,South East,55-64,Classic,3,Poor service,Joined on promo
383,False,Outbound,Wales & NI,25-34,Classic,4,Moved abroad,No promo
384,True,Outbound,Midlands,45-54,Silver,21,Unknown,Joined on promo
386,True,Online,Wales & NI,45-54,Classic,5,Unknown,Joined on promo
389,True,Online,North,35-44,Silver,14,Fees too high,Joined on promo
391,True,Comparison Site,London,25-34,Silver,12,Unknown,Joined on promo
392,True,Comparison Site,North,35-44,Classic,1,Poor service,Joined on promo
393,True,Comparison Site,Wales & NI,65+,Silver,12,Moved abroad,Joined on promo
397,False,Referral,London,18-24,Gold,3,Unknown,No promo
399,True,Comparison Site,Midlands,35-44,Classic,1,Poor service,Joined on promo
401,False,Comparison Site,Scotland,35-44,Classic,8,Switched provider,No promo
403,False,Comparison Site,South East,18-24,Silver,6,Moved abroad,No promo
404,True,Referral,South East,25-34,Gold,33,Fees too high,Joined on promo
406,True,Outbound,Wales & NI,45-54,Silver,19,Moved abroad,Joined on promo
407,True,Comparison Site,London,35-44,Classic,7,Fees too high,Joined on promo
413,True,Outbound,London,65+,Classic,1,Fees too high,Joined on promo
414,True,Comparison Site,South East,35-44,Silver,14,Fees too high,Joined on promo
415,True,Outbound,London,25-34,Silver,6,Unknown,Joined on promo
421,False,Branch,South East,45-54,Classic,11,Unknown,No promo
422,False,Outbound,Midlands,18-24,Classic,17,Unknown,No promo
423,False,Outbound,London,45-54,Classic,4,Switched provider,No promo
426,True,Comparison Site,South East,65+,Classic,4,Fees too high,Joined on promo
427,True,Comparison Site,South East,35-44,Silver,3,Unknown,Joined on promo
