customer_id,join_month,cohort,channel,region,age_band,tier_at_join,promo,tenure_months,churned,value_12m,CAC
1,2022-01-01,2022,Comparison Site,Scotland,25-34,Classic,False,6,True,0,39.79
2,2022-01-01,2022,Online,London,55-64,Silver,False,36,False,132,69.94
3,2022-01-01,2022,Branch,South East,25-34,Platinum,False,36,False,316,152.18
4,2022-01-01,2022,Referral,London,25-34,Silver,True,36,False,66,59.74
5,2022-01-01,2022,Comparison Site,South East,35-44,Silver,False,10,True,33,39.79
6,2022-01-01,2022,Branch,South East,35-44,Gold,False,36,False,153,152.18
7,2022-01-01,2022,Outbound,Scotland,45-54,Silver,False,17,True,132,121.95
8,2022-01-01,2022,Online,South East,45-54,Silver,False,36,False,132,69.94
9,2022-01-01,2022,Online,North,35-44,Silver,False,36,False,132,69.94
10,2022-01-01,2022,Broker/IFA,Scotland,18-24,Gold,True,36,False,168,199.2
11,2022-01-01,2022,Comparison Site,South East,18-24,Classic,True,8,True,0,39.79
12,2022-01-01,2022,Referral,Scotland,18-24,Gold,False,36,False,216,59.74
13,2022-01-01,2022,Comparison Site,London,25-34,Classic,True,18,True,0,39.79
14,2022-01-01,2022,Online,Midlands,45-54,Silver,False,30,True,33,69.94
15,2022-01-01,2022,Branch,North,25-34,Silver,True,1,True,0,152.18
16,2022-01-01,2022,Comparison Site,London,25-34,Classic,True,3,True,0,39.79
17,2022-01-01,2022,Broker/IFA,Scotland,45-54,Silver,False,1,True,11,199.2
18,2022-01-01,2022,Comparison Site,London,45-54,Classic,True,13,True,44,39.79
19,2022-01-01,2022,Broker/IFA,South East,55-64,Gold,False,36,False,326,199.2
20,2022-01-01,2022,Broker/IFA,Scotland,55-64,Silver,False,36,False,167,199.2
21,2022-01-01,2022,Referral,Midlands,35-44,Silver,False,11,True,177,59.74
22,2022-01-01,2022,Broker/IFA,London,55-64,Platinum,False,17,True,296,199.2
23,2022-01-01,2022,Online,North,35-44,Silver,False,36,False,132,69.94
24,2022-01-01,2022,Broker/IFA,North,55-64,Platinum,False,9,True,212,199.2
25,2022-01-01,2022,Branch,North,45-54,Classic,True,36,False,108,152.18
26,2022-01-01,2022,Branch,Midlands,35-44,Silver,False,35,True,132,152.18
27,2022-01-01,2022,Online,North,25-34,Silver,False,36,False,132,69.94
28,2022-01-01,2022,Comparison Site,London,45-54,Silver,True,7,True,0,39.79
29,2022-01-01,2022,Comparison Site,Wales & NI,45-54,Gold,False,16,True,195,39.79
30,2022-01-01,2022,Referral,North,65+,Classic,False,30,True,11,59.74
31,2022-01-01,2022,Comparison Site,London,25-34,Classic,False,1,True,0,39.79
32,2022-01-01,2022,Referral,Scotland,45-54,Gold,False,36,False,216,59.74
33,2022-01-01,2022,Online,London,55-64,Platinum,True,36,False,138,69.94
34,2022-01-01,2022,Comparison Site,South East,55-64,Gold,False,2,True,36,39.79
35,2022-01-01,2022,Comparison Site,Wales & NI,18-24,Classic,True,1,True,0,39.79
36,2022-01-01,2022,Comparison Site,Scotland,45-54,Classic,False,10,True,0,39.79
37,2022-01-01,2022,Broker/IFA,London,35-44,Platinum,True,36,False,168,199.2
38,2022-01-01,2022,Outbound,Scotland,35-44,Classic,False,5,True,0,121.95
39,2022-01-01,2022,Online,London,45-54,Silver,False,36,False,132,69.94
40,2022-01-01,2022,Referral,Midlands,25-34,Silver,True,12,True,66,59.74
41,2022-01-01,2022,Comparison Site,South East,65+,Classic,True,12,True,0,39.79
42,2022-01-01,2022,Online,Wales & NI,35-44,Silver,False,15,True,167,69.94
43,2022-01-01,2022,Branch,London,18-24,Gold,False,36,False,216,152.18
44,2022-01-01,2022,Outbound,North,35-44,Classic,False,36,False,0,121.95
45,2022-01-01,2022,Outbound,London,35-44,Silver,True,7,True,11,121.95
46,2022-01-01,2022,Broker/IFA,Midlands,25-34,Gold,False,27,True,266,199.2
47,2022-01-01,2022,Comparison Site,North,25-34,Silver,True,27,True,66,39.79
48,2022-01-01,2022,Outbound,South East,45-54,Gold,False,36,False,209,121.95
49,2022-01-01,2022,Referral,South East,55-64,Silver,False,36,False,132,59.74
50,2022-01-01,2022,Online,South East,45-54,Gold,False,36,False,296,69.94
51,2022-01-01,2022,Outbound,Wales & NI,35-44,Classic,False,19,True,0,121.95
52,2022-01-01,2022,Online,Midlands,65+,Classic,False,4,True,0,69.94
53,2022-01-01,2022,Comparison Site,Midlands,45-54,Silver,True,5,True,0,39.79
54,2022-01-01,2022,Online,South East,35-44,Silver,False,1,True,11,69.94
55,2022-01-01,2022,Broker/IFA,London,45-54,Gold,False,36,False,209,199.2
56,2022-01-01,2022,Online,Midlands,18-24,Gold,False,9,True,162,69.94
57,2022-01-01,2022,Comparison Site,North,25-34,Classic,True,36,False,66,39.79
58,2022-01-01,2022,Comparison Site,Midlands,18-24,Classic,True,12,True,0,39.79
59,2022-01-01,2022,Online,London,35-44,Classic,False,3,True,0,69.94
60,2022-01-01,2022,Branch,London,25-34,Gold,False,36,False,216,152.18
61,2022-01-01,2022,Comparison Site,South East,35-44,Classic,False,12,True,0,39.79
62,2022-01-01,2022,Comparison Site,Midlands,18-24,Gold,True,9,True,54,39.79
63,2022-01-01,2022,Branch,Midlands,65+,Silver,False,36,False,132,152.18
64,2022-01-01,2022,Online,North,25-34,Classic,False,10,True,0,69.94
65,2022-01-01,2022,Referral,London,18-24,Classic,False,5,True,0,59.74
66,2022-01-01,2022,Comparison Site,South East,55-64,Classic,True,2,True,0,39.79
67,2022-01-01,2022,Branch,South East,65+,Gold,False,36,False,326,152.18
68,2022-01-01,2022,Referral,North,45-54,Silver,False,36,False,132,59.74
69,2022-01-01,2022,Online,South East,35-44,Silver,False,5,True,55,69.94
70,2022-01-01,2022,Outbound,South East,25-34,Silver,True,36,False,66,121.95
71,2022-01-01,2022,Outbound,Midlands,45-54,Silver,False,8,True,44,121.95
72,2022-01-01,2022,Online,North,55-64,Silver,False,2,True,22,69.94
73,2022-01-01,2022,Online,Scotland,25-34,Gold,True,4,True,0,69.94
